,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
debtEquityRatio,8.958928659105416,9.319305665287912,9.24680683827864,8.190825157293348,7.92374132585265,8.000096967346247,7.5723119734096,9.327891263769487,9.257231377367058,8.949015218144506,8.826219428508688,8.710087679923392,6.617481609692773,6.3229802947164995,7.467450980392157,5.7223072475597725,7.916587595963081,9.335560955852571,9.17534983853606,9.963099193165638,10.604428485936564,11.826499920848503,9.077626764244641,10.253349390335691,8.410640189685832,8.990169943352216,8.737209708398813,9.267584097859327,10.377793296089385,10.18516699410609,10.638406827880512,12.58580289455548,14.729251134906608,16.675832127351665,15.972779369627506,17.999176276771006,18.666666666666668,19.071661237785015,18.942105263157895,18.272590361445783
longTermDebtToCapitalization,0.4310019695763316,0.38270648650199385,0.3650655021834061,0.40383426986476584,0.44352850961275125,0.42911511528135293,0.3938433185481352,0.36717853161861347,0.3598844266639312,0.35362114112458654,0.35338385900143765,0.39815215042143937,0.37454812580950725,0.37934801233721727,0.37206178643384824,0.38891429046471027,0.4728297940066391,0.44181314644209574,0.3852160677652042,0.4207162004261461,0.4486967997360607,0.44062693704064465,0.28405688622754494,0.29733446160355403,0.23613312202852615,0.23159646652157215,0.24075301604136284,0.26101694915254237,0.29225700164744645,0.28081949841045567,0.32611196319018404,0.2980164489598452,0.2305825889881349,0.2559892328398385,0,0.37422680412371134,0.32282958199356915,0.3182827535159141,0.18191603875134554,0.12975098296199214
totalDebtToCapitalization,0.4310019695763316,0.38270648650199385,0.3650655021834061,0.4359277691659188,0.45792148545359956,0.45241793105279227,0.4008983977030657,0.37263730826323604,0.3598844266639312,0.3546883599339571,0.3572398948464158,0.3982605250837325,0.3746690117706179,0.37950749464668093,0.37399571505088375,0.43667017913593253,0.5122023058150299,0.46768716649598446,0.41733567486201706,0.45212247285965024,0.47572358616362065,0.5374194493263035,0.38165656565656564,0.49973642593568796,0.4952879581151832,0.5192246074975969,0.5099683408915889,0.5149267569071018,0.6025166543301258,0.5177069761932962,0.5736810187992722,0.4484986697073356,0.4830162313232291,0.2559892328398385,0,0.37422680412371134,0.32282958199356915,0.3182827535159141,0.18191603875134554,0.12975098296199214
interestCoverage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15823466092572658,0.19812583668005354
cashFlowToDebtRatio,,0.10637181409295353,0.19131161236424393,0.0029944789294737827,0.17466282152116286,0.13617158617452027,0.2404990181356128,0.18266719780462976,0.21301662707838478,-0.031130291422198517,0.08045239035954169,0.09996835013790296,0.20892442610265669,0.21333859955989393,0.17388709869912877,0.17418392418392417,0.26969522714203564,-0.1281548922438631,0.5030057108506162,0.5480948957584472,0.5205276174773289,0.8129172911840851,-0.458606817700614,-0.14828209764918626,0.23648444578677136,0.12742980561555076,0.15302013422818792,0.32895210658984514,0.37638206388206386,0.4813543811484786,0.20063424947145878,0.3559322033898305,0.46671117540150586,1.0711882229232388,0,0.740495867768595,0.5292828685258965,,,
companyEquityMultiplier,9.96177640300486,10.327601431426315,10.253771751708477,9.196731191090326,8.929401053201437,9.012096676444207,8.592125943675763,10.352551463049137,10.290937742047488,9.976013432477812,9.853970519612417,9.733548792530748,7.642300797428447,7.323877558063292,8.467450980392156,6.7223072475597725,8.916587595963081,10.335560955852571,10.17534983853606,10.963099193165638,11.604428485936564,12.826499920848503,10.077626764244641,11.253349390335691,9.410640189685832,9.990169943352216,9.737209708398813,10.267584097859327,11.377793296089385,11.18516699410609,11.638406827880512,13.58580289455548,15.729251134906608,17.675832127351665,16.972779369627506,18.999176276771006,19.666666666666668,20.071661237785015,19.943421052631578,19.272590361445783
receivablesTurnover,18.687645687645688,2.6483144163984416,2.7067879636109167,2.715732613099257,2.370051890289103,1.8848454636091725,1.97444089456869,1.9769117843320432,1.587937486242571,1.6096885046003768,1.3720997961362975,1.4200721153846154,1.3511511511511511,0.6112614135948596,1.5089841050449204,1.0386974988201982,0.49791733418776035,17.55754475703325,22.231578947368423,26.238317757009344,23.568627450980394,22.122881355932204,14.064971751412429,16.282131661442005,11.08169014084507,11.213483146067416,12.987301587301587,13.055555555555555,10.36551724137931,12.684684684684685,11.72636815920398,8.335820895522389,5.997871774408087,0,0,0,0,0,0,0
payablesTurnover,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inventoryTurnover,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fixedAssetTurnover,4.924447174447175,4.556397551734189,4.2953914491948915,4.438068965517242,8.725982532751091,9.255813953488373,11.38296239447429,10.741841914430747,10.350071736011477,8.774018126888217,8.519590114526823,8.43426531826294,7.972829297105729,4.51310861423221,7.770462633451957,6.357596764875795,4.44,6.476415094339623,5.775752051048314,4.016452074391989,4.931282051282051,5.263104838709677,5.388528138528138,5.816349384098544,4.595794392523365,4.780838323353294,4.675428571428571,3.9079822616407984,3.288840262582057,2.97989417989418,3.2827298050139277,3.043596730245232,2.742155193383605,2.549530516431925,0,0,0,0,5.311475409836065,4.744
