Symbol,Company,Weight
MDLZ,Mondelez International Inc. Class A,0.250917
GE,General Electric Company,0.243958
MMC,Marsh McLennan Companies Inc.,0.241688
MMM,3M Company,0.240394
ISRG,Intuitive Surgical Inc.,0.238915
TMUS,T-Mobile US Inc.,0.23861
BKNG,Booking Holdings Inc.,0.236415
DUK,Duke Energy Corporation,0.235591
SO,Southern Company,0.232212
CB,Chubb Limited,0.23158
MO,Altria Group Inc,0.231394
ZTS,Zoetis Inc. Class A,0.230023
TGT,Target Corporation,0.221164
GILD,Gilead Sciences Inc.,0.220332
CCI,Crown Castle Inc.,0.218443
TJX,TJX Companies Inc,0.213322
VRTX,Vertex Pharmaceuticals Incorporated,0.210718
CSX,CSX Corporation,0.209452
BDX,Becton Dickinson and Company,0.207741
SYK,Stryker Corporation,0.205877
CME,CME Group Inc. Class A,0.201183
PNC,PNC Financial Services Group Inc.,0.200533
PGR,Progressive Corporation,0.198686
MU,Micron Technology Inc.,0.195664
LRCX,Lam Research Corporation,0.195172
NOC,Northrop Grumman Corp.,0.194077
TFC,Truist Financial Corporation,0.190848
REGN,Regeneron Pharmaceuticals Inc.,0.190069
CL,Colgate-Palmolive Company,0.187917
EOG,EOG Resources Inc.,0.18685
D,Dominion Energy Inc,0.186268
USB,U.S. Bancorp,0.183991
WM,Waste Management Inc.,0.183346
EW,Edwards Lifesciences Corporation,0.182487
AON,Aon Plc Class A,0.177675
FISV,Fiserv Inc.,0.177116
EQIX,Equinix Inc.,0.17694
EL,Estee Lauder Companies Inc. Class A,0.176741
ATVI,Activision Blizzard Inc.,0.176417
NSC,Norfolk Southern Corporation,0.175484
F,Ford Motor Company,0.175133
FIS,Fidelity National Information Services Inc.,0.173119
HUM,Humana Inc.,0.172671
ITW,Illinois Tool Works Inc.,0.17122
BSX,Boston Scientific Corporation,0.168353
ICE,Intercontinental Exchange Inc.,0.168269
MRNA,Moderna Inc.,0.167666
ETN,Eaton Corp. Plc,0.166954
APD,Air Products and Chemicals Inc.,0.165617
SHW,Sherwin-Williams Company,0.165022
OXY,Occidental Petroleum Corporation,0.164932
SNPS,Synopsys Inc.,0.162703
DG,Dollar General Corporation,0.1625
KLAC,KLA Corporation,0.15836
GM,General Motors Company,0.158136
CNC,Centene Corporation,0.155061
FDX,FedEx Corporation,0.154149
CHTR,Charter Communications Inc. Class A,0.152269
GD,General Dynamics Corporation,0.149961
PSA,Public Storage,0.149195
MPC,Marathon Petroleum Corporation,0.147543
MCK,McKesson Corporation,0.147073
SLB,Schlumberger NV,0.147044
AEP,American Electric Power Company Inc.,0.146558
EMR,Emerson Electric Co.,0.146556
SRE,Sempra Energy,0.145264
PXD,Pioneer Natural Resources Company,0.145241
CDNS,Cadence Design Systems Inc.,0.144508
MCO,Moody s Corporation,0.144132
ADSK,Autodesk Inc.,0.140125
HCA,HCA Healthcare Inc,0.138925
NXPI,NXP Semiconductors NV,0.134919
ADM,Archer-Daniels-Midland Company,0.133515
ORLY,O Reilly Automotive Inc.,0.133334
GIS,General Mills Inc.,0.130738
VLO,Valero Energy Corporation,0.130713
APH,Amphenol Corporation Class A,0.130575
FCX,Freeport-McMoRan Inc.,0.130322
MET,MetLife Inc.,0.129998
IQV,IQVIA Holdings Inc,0.129928
ROP,Roper Technologies Inc.,0.129535
CMG,Chipotle Mexican Grill Inc.,0.128214
COF,Capital One Financial Corp,0.127768
KMB,Kimberly-Clark Corporation,0.127058
AIG,American International Group Inc.,0.125842
LHX,L3Harris Technologies Inc,0.125802
O,Realty Income Corporation,0.125306
EXC,Exelon Corporation,0.12523
MAR,Marriott International Inc. Class A,0.124926
AZO,AutoZone Inc.,0.124903
TEL,TE Connectivity Ltd.,0.123405
CTVA,Corteva Inc,0.123149
PSX,Phillips 66,0.119839
MSI,Motorola Solutions Inc.,0.119709
ECL,Ecolab Inc.,0.119349
PAYX,Paychex Inc.,0.118519
SYY,Sysco Corporation,0.117321
WMB,Williams Companies Inc.,0.115556
DOW,Dow Inc.,0.114705
XEL,Xcel Energy Inc.,0.114597
MSCI,MSCI Inc. Class A,0.114523
TRV,Travelers Companies Inc.,0.114522
A,Agilent Technologies Inc.,0.111908
DVN,Devon Energy Corporation,0.111577
JCI,Johnson Controls International plc,0.111366
MCHP,Microchip Technology Incorporated,0.111181
STZ,Constellation Brands Inc. Class A,0.110571
ENPH,Enphase Energy Inc.,0.110504
PH,Parker-Hannifin Corporation,0.10932
PRU,Prudential Financial Inc.,0.109281
AJG,Arthur J. Gallagher Co.,0.108586
GPN,Global Payments Inc.,0.106957
CTAS,Cintas Corporation,0.106545
NUE,Nucor Corporation,0.106467
AFL,Aflac Incorporated,0.105684
SBAC,SBA Communications Corp. Class A,0.105456
HLT,Hilton Worldwide Holdings Inc,0.10519
SPG,Simon Property Group Inc.,0.105055
DLTR,Dollar Tree Inc.,0.1044
TT,Trane Technologies plc,0.104188
WELL,Welltower Inc,0.103991
CARR,Carrier Global Corp.,0.103576
DLR,Digital Realty Trust Inc.,0.102991
EA,Electronic Arts Inc.,0.102848
HPQ,HP Inc.,0.101652
KMI,Kinder Morgan Inc Class P,0.101542
NEM,Newmont Corporation,0.101451
CTSH,Cognizant Technology Solutions Corporation Class A,0.101214
ILMN,Illumina Inc.,0.099821
FTNT,Fortinet Inc.,0.099761
RMD,ResMed Inc.,0.09906
ALL,Allstate Corporation,0.098437
TDG,TransDigm Group Incorporated,0.098031
ED,Consolidated Edison Inc.,0.097796
DXCM,DexCom Inc.,0.097672
OTIS,Otis Worldwide Corporation,0.096395
YUM,Yum! Brands Inc.,0.095671
IDXX,IDEXX Laboratories Inc.,0.094577
VICI,VICI Properties Inc,0.094561
TWTR,Twitter Inc.,0.094518
PEG,Public Service Enterprise Group Inc,0.094491
MNST,Monster Beverage Corporation,0.094359
MTB,M T Bank Corporation,0.093886
BK,Bank of New York Mellon Corp,0.092329
WEC,WEC Energy Group Inc,0.092213
HSY,Hershey Company,0.091739
VRSK,Verisk Analytics Inc,0.090808
PCAR,PACCAR Inc,0.090487
DD,DuPont de Nemours Inc.,0.090129
CMI,Cummins Inc.,0.090078
BIIB,Biogen Inc.,0.089948
AMP,Ameriprise Financial Inc.,0.088726
PPG,PPG Industries Inc.,0.088681
ES,Eversource Energy,0.088224
ROST,Ross Stores Inc.,0.08798
FAST,Fastenal Company,0.087876
HES,Hess Corporation,0.087608
IFF,International Flavors Fragrances Inc.,0.087344
KR,Kroger Co.,0.087307
MTD,Mettler-Toledo International Inc.,0.08722
ALB,Albemarle Corporation,0.087081
KEYS,Keysight Technologies Inc,0.086073
DFS,Discover Financial Services,0.085976
BAX,Baxter International Inc.,0.085156
WBD,Warner Bros. Discovery Inc. Series A,0.084904
AVB,AvalonBay Communities Inc.,0.084157
FRC,First Republic Bank,0.08355
RSG,Republic Services Inc.,0.083498
TROW,T. Rowe Price Group,0.083487
ODFL,Old Dominion Freight Line Inc.,0.08288
AME,AMETEK Inc.,0.082399
APTV,Aptiv PLC,0.082349
ROK,Rockwell Automation Inc.,0.082231
ON,ON Semiconductor Corporation,0.081313
KDP,Keurig Dr Pepper Inc.,0.081169
OKE,ONEOK Inc.,0.081138
WBA,Walgreens Boots Alliance Inc.,0.080606
GLW,Corning Inc,0.079616
ANET,Arista Networks Inc.,0.079366
AWK,American Water Works Company Inc.,0.078946
CBRE,CBRE Group Inc. Class A,0.078672
EXR,Extra Space Storage Inc.,0.077801
KHC,Kraft Heinz Company,0.076984
CPRT,Copart Inc.,0.07697
EBAY,eBay Inc.,0.076682
WY,Weyerhaeuser Company,0.07653
STT,State Street Corporation,0.075327
EQR,Equity Residential,0.075079
SIVB,SVB Financial Group,0.074771
HAL,Halliburton Company,0.074736
EFX,Equifax Inc.,0.074508
EIX,Edison International,0.073419
DTE,DTE Energy Company,0.072398
CEG,Constellation Energy Corporation,0.072005
DHI,D.R. Horton Inc.,0.071871
FITB,Fifth Third Bancorp,0.071143
WST,West Pharmaceutical Services Inc.,0.069986
ARE,Alexandria Real Estate Equities Inc.,0.069936
GWW,W.W. Grainger Inc.,0.069484
EPAM,EPAM Systems Inc.,0.069383
IT,Gartner Inc.,0.069237
ANSS,ANSYS Inc.,0.068369
ETR,Entergy Corporation,0.068121
WTW,Willis Towers Watson Public Limited Company,0.068052
DRE,Duke Realty Corporation,0.067902
AEE,Ameren Corporation,0.067877
LH,Laboratory Corporation of America Holdings,0.067758
LYB,LyondellBasell Industries NV,0.067591
FTV,Fortive Corp.,0.067566
URI,United Rentals Inc.,0.067331
ZBH,Zimmer Biomet Holdings Inc.,0.067286
CDW,CDW Corp.,0.066916
CTRA,Coterra Energy Inc.,0.066752
BKR,Baker Hughes Company Class A,0.066682
TSN,Tyson Foods Inc. Class A,0.066662
VMC,Vulcan Materials Company,0.065302
LUV,Southwest Airlines Co.,0.064612
LEN,Lennar Corporation Class A,0.064515
FE,FirstEnergy Corp.,0.064262
MLM,Martin Marietta Materials Inc.,0.063799
HIG,Hartford Financial Services Group Inc.,0.063725
FANG,Diamondback Energy Inc.,0.063327
MPWR,Monolithic Power Systems Inc.,0.06313
GPC,Genuine Parts Company,0.062855
ABC,AmerisourceBergen Corporation,0.062778
MKC,McCormick Company Incorporated,0.062575
TSCO,Tractor Supply Company,0.062446
PPL,PPL Corporation,0.062091
DAL,Delta Air Lines Inc.,0.060897
NDAQ,Nasdaq Inc.,0.060751
RF,Regions Financial Corporation,0.060301
CF,CF Industries Holdings Inc.,0.06022
NTRS,Northern Trust Corporation,0.060008
CHD,Church Dwight Co. Inc.,0.060001
MAA,Mid-America Apartment Communities Inc.,0.059489
STE,STERIS Plc,0.059202
ALGN,Align Technology Inc.,0.059164
RJF,Raymond James Financial Inc.,0.058899
IR,Ingersoll Rand Inc.,0.058876
VTR,Ventas Inc.,0.05777
HBAN,Huntington Bancshares Incorporated,0.057605
ULTA,Ulta Beauty Inc.,0.057449
PKI,PerkinElmer Inc.,0.057055
WAT,Waters Corporation,0.057026
MOS,Mosaic Company,0.056937
PWR,Quanta Services Inc.,0.056615
CNP,CenterPoint Energy Inc.,0.056348
CMS,CMS Energy Corporation,0.055928
CTLT,Catalent Inc,0.055379
BR,Broadridge Financial Solutions Inc.,0.05522
DOV,Dover Corporation,0.055048
CFG,Citizens Financial Group Inc.,0.054777
MOH,Molina Healthcare Inc.,0.054092
VRSN,VeriSign Inc.,0.05379
AMCR,Amcor PLC,0.053731
HPE,Hewlett Packard Enterprise Co.,0.053698
K,Kellogg Company,0.053663
TTWO,Take-Two Interactive Software Inc.,0.053612
ESS,Essex Property Trust Inc.,0.05335
BALL,Ball Corporation,0.052888
MTCH,Match Group Inc.,0.052665
CAH,Cardinal Health Inc.,0.051895
TDY,Teledyne Technologies Incorporated,0.051747
PFG,Principal Financial Group Inc.,0.051353
EXPD,Expeditors International of Washington Inc.,0.051326
HOLX,Hologic Inc.,0.051096
SYF,Synchrony Financial,0.051067
XYL,Xylem Inc.,0.051067
SWKS,Skyworks Solutions Inc.,0.051021
PAYC,Paycom Software Inc.,0.050891
ZBRA,Zebra Technologies Corporation Class A,0.050279
KEY,KeyCorp,0.050185
WAB,Westinghouse Air Brake Technologies Corporation,0.050069
SEDG,SolarEdge Technologies Inc.,0.049829
CLX,Clorox Company,0.049771
TRMB,Trimble Inc.,0.04957
FLT,FLEETCOR Technologies Inc.,0.04946
MRO,Marathon Oil Corporation,0.047718
DRI,Darden Restaurants Inc.,0.047256
GNRC,Generac Holdings Inc.,0.047105
DGX,Quest Diagnostics Incorporated,0.047042
J,Jacobs Engineering Group Inc.,0.046931
TYL,Tyler Technologies Inc.,0.046671
EXPE,Expedia Group Inc.,0.046536
KMX,CarMax Inc.,0.046435
STX,Seagate Technology Holdings PLC,0.046429
CAG,Conagra Brands Inc.,0.046354
NTAP,NetApp Inc.,0.046302
AVY,Avery Dennison Corporation,0.046168
FDS,FactSet Research Systems Inc.,0.045981
BBY,Best Buy Co. Inc.,0.045919
IP,International Paper Company,0.045779
TER,Teradyne Inc.,0.045709
IEX,IDEX Corporation,0.045573
AES,AES Corporation,0.045471
JBHT,J.B. Hunt Transport Services Inc.,0.045467
COO,Cooper Companies Inc.,0.045357
ATO,Atmos Energy Corporation,0.045188
EVRG,Evergy Inc.,0.04446
PARA,Paramount Global Class B,0.043799
IRM,Iron Mountain Inc.,0.043633
BRO,Brown Brown Inc.,0.043579
CHRW,C.H. Robinson Worldwide Inc.,0.043356
LNT,Alliant Energy Corp,0.043218
WDC,Western Digital Corporation,0.043177
CINF,Cincinnati Financial Corporation,0.043163
CPT,Camden Property Trust,0.043065
JKHY,Jack Henry Associates Inc.,0.042791
VFC,V.F. Corporation,0.042757
AKAM,Akamai Technologies Inc.,0.042755
OMC,Omnicom Group Inc,0.042424
POOL,Pool Corporation,0.042189
LKQ,LKQ Corporation,0.042016
PEAK,Healthpeak Properties Inc.,0.041967
SWK,Stanley Black Decker Inc.,0.041848
DPZ,Domino s Pizza Inc.,0.041771
GRMN,Garmin Ltd.,0.041628
TXT,Textron Inc.,0.041462
UDR,UDR Inc.,0.041376
TECH,Bio-Techne Corporation,0.040818
ETSY,Etsy Inc.,0.040812
HWM,Howmet Aerospace Inc.,0.040773
SJM,J.M. Smucker Company,0.040282
KIM,Kimco Realty Corporation,0.039632
HRL,Hormel Foods Corporation,0.039338
NLOK,NortonLifeLock Inc.,0.039171
FMC,FMC Corporation,0.039034
INCY,Incyte Corporation,0.038905
LDOS,Leidos Holdings Inc.,0.03866
BF-B,Brown-Forman Corporation Class B,0.038599
WRB,W. R. Berkley Corporation,0.038446
NVR,NVR Inc.,0.03828
HST,Host Hotels Resorts Inc.,0.038153
PKG,Packaging Corporation of America,0.037806
VTRS,Viatris Inc.,0.037131
ABMD,ABIOMED Inc.,0.036996
MAS,Masco Corporation,0.036949
PTC,PTC Inc.,0.036811
LYV,Live Nation Entertainment Inc.,0.036641
LVS,Las Vegas Sands Corp.,0.036443
NDSN,Nordson Corporation,0.036398
EMN,Eastman Chemical Company,0.035985
BXP,Boston Properties Inc.,0.035711
SBNY,Signature Bank,0.035651
CTXS,Citrix Systems Inc.,0.035589
CE,Celanese Corporation,0.035512
CBOE,Cboe Global Markets Inc,0.035111
MGM,MGM Resorts International,0.034813
NI,NiSource Inc,0.034812
UAL,United Airlines Holdings Inc.,0.034806
AAP,Advance Auto Parts Inc.,0.034615
SNA,Snap-on Incorporated,0.034585
IPG,Interpublic Group of Companies Inc.,0.033499
TFX,Teleflex Incorporated,0.033253
APA,APA Corp.,0.033232
QRVO,Qorvo Inc.,0.033152
BIO,Bio-Rad Laboratories Inc. Class A,0.033078
FOXA,Fox Corporation Class A,0.032766
LW,Lamb Weston Holdings Inc.,0.032646
CRL,Charles River Laboratories International Inc.,0.031882
L,Loews Corporation,0.031707
CMA,Comerica Incorporated,0.031403
WRK,WestRock Company,0.031228
RE,Everest Re Group Ltd.,0.030291
TAP,Molson Coors Beverage Company Class B,0.03013
HSIC,Henry Schein Inc.,0.030035
PHM,PulteGroup Inc.,0.029666
CZR,Caesars Entertainment Inc,0.029662
CCL,Carnival Corporation,0.028991
LUMN,Lumen Technologies Inc.,0.028835
CPB,Campbell Soup Company,0.02869
FFIV,F5 Inc.,0.028675
HAS,Hasbro Inc.,0.028355
MKTX,MarketAxess Holdings Inc.,0.028314
REG,Regency Centers Corporation,0.027974
NRG,NRG Energy Inc.,0.027919
NLSN,Nielsen Holdings Plc,0.027725
AAL,American Airlines Group Inc.,0.027163
BWA,BorgWarner Inc.,0.026818
FBHS,Fortune Brands Home Security Inc.,0.026688
GL,Globe Life Inc.,0.026632
WHR,Whirlpool Corporation,0.026429
BBWI,Bath Body Works Inc.,0.026391
TPR,Tapestry Inc.,0.026356
RCL,Royal Caribbean Group,0.026314
JNPR,Juniper Networks Inc.,0.026185
AIZ,Assurant Inc.,0.02613
ALLE,Allegion Public Limited Company,0.025848
HII,Huntington Ingalls Industries Inc.,0.025569
CDAY,Ceridian HCM Holding Inc.,0.025321
RHI,Robert Half International Inc.,0.025289
ZION,Zions Bancorporation N.A.,0.024414
SEE,Sealed Air Corporation,0.024116
PNW,Pinnacle West Capital Corporation,0.024072
LNC,Lincoln National Corporation,0.023899
AOS,A. O. Smith Corporation,0.023296
PNR,Pentair plc,0.02307
ROL,Rollins Inc.,0.022909
XRAY,DENTSPLY SIRONA Inc.,0.022756
OGN,Organon Co.,0.022624
NWL,Newell Brands Inc,0.022133
BEN,Franklin Resources Inc.,0.022084
FRT,Federal Realty Investment Trust,0.021577
UHS,Universal Health Services Inc. Class B,0.021087
NWSA,News Corporation Class A,0.020609
WYNN,Wynn Resorts Limited,0.02007
DXC,DXC Technology Co.,0.018367
MHK,Mohawk Industries Inc.,0.018304
IVZ,Invesco Ltd.,0.017689
PENN,PENN Entertainment Inc.,0.016601
ALK,Alaska Air Group Inc.,0.016205
NCLH,Norwegian Cruise Line Holdings Ltd.,0.016135
DVA,DaVita Inc.,0.015875
FOX,Fox Corporation Class B,0.013986
PVH,PVH Corp.,0.013799
DISH,DISH Network Corporation Class A,0.013528
VNO,Vornado Realty Trust,0.01351
RL,Ralph Lauren Corporation Class A,0.013238
NWS,News Corporation Class B,0.006541
EMBC,Embecta Corporation,5e-06
