Symbol,Company,Weight
KHC,Kraft Heinz Company,0.092437
GPN,Global Payments Inc.,0.091353
SBAC,SBA Communications Corp. Class A,0.091054
ANET,Arista Networks Inc.,0.09084
OKE,ONEOK Inc.,0.089491
ODFL,Old Dominion Freight Line Inc.,0.089402
DHI,D.R. Horton Inc.,0.089223
URI,United Rentals Inc.,0.08879
PEG,Public Service Enterprise Group Inc,0.088775
APTV,Aptiv PLC,0.087921
PPG,PPG Industries Inc.,0.087521
KDP,Keurig Dr Pepper Inc.,0.0862
KR,Kroger Co.,0.086129
WEC,WEC Energy Group Inc,0.08586
CPRT,Copart Inc.,0.084343
AWK,American Water Works Company Inc.,0.083773
IFF,International Flavors Fragrances Inc.,0.083671
FAST,Fastenal Company,0.083663
ENPH,Enphase Energy Inc.,0.083195
CEG,Constellation Energy Corporation,0.083072
VRSK,Verisk Analytics Inc,0.082682
ES,Eversource Energy,0.081981
GLW,Corning Inc,0.081547
WTW,Willis Towers Watson Public Limited Company,0.08051
MTB,M T Bank Corporation,0.079604
CBRE,CBRE Group Inc. Class A,0.079285
EBAY,eBay Inc.,0.078724
FANG,Diamondback Energy Inc.,0.078452
EFX,Equifax Inc.,0.078402
WBA,Walgreens Boots Alliance Inc.,0.078284
ABC,AmerisourceBergen Corporation,0.078008
HPQ,HP Inc.,0.077797
ZBH,Zimmer Biomet Holdings Inc.,0.077506
EIX,Edison International,0.077021
ULTA,Ulta Beauty Inc.,0.077013
IT,Gartner Inc.,0.076706
TROW,T. Rowe Price Group,0.076661
CDW,CDW Corp.,0.07608
PCG,PG E Corporation,0.075868
GWW,W.W. Grainger Inc.,0.075708
FRC,First Republic Bank,0.075323
LEN,Lennar Corporation Class A,0.075022
GEHC,GE Healthcare Technologies Inc.,0.074661
WY,Weyerhaeuser Company,0.074514
RSG,Republic Services Inc.,0.074383
TSCO,Tractor Supply Company,0.073238
AVB,AvalonBay Communities Inc.,0.072871
FITB,Fifth Third Bancorp,0.072705
HIG,Hartford Financial Services Group Inc.,0.072413
DAL,Delta Air Lines Inc.,0.071799
LYB,LyondellBasell Industries NV,0.071091
VMC,Vulcan Materials Company,0.069611
ARE,Alexandria Real Estate Equities Inc.,0.069559
FTV,Fortive Corp.,0.069553
ACGL,Arch Capital Group Ltd.,0.069522
GPC,Genuine Parts Company,0.068837
BAX,Baxter International Inc.,0.067517
ANSS,ANSYS Inc.,0.067314
LH,Laboratory Corporation of America Holdings,0.067253
AEE,Ameren Corporation,0.066128
FE,FirstEnergy Corp.,0.065442
IR,Ingersoll Rand Inc.,0.065309
ETR,Entergy Corporation,0.064433
RF,Regions Financial Corporation,0.064408
DTE,DTE Energy Company,0.063775
PPL,PPL Corporation,0.063712
RJF,Raymond James Financial Inc.,0.063333
LUV,Southwest Airlines Co.,0.063136
PFG,Principal Financial Group Inc.,0.063011
HBAN,Huntington Bancshares Incorporated,0.062989
MLM,Martin Marietta Materials Inc.,0.06287
EQR,Equity Residential,0.062528
CFG,Citizens Financial Group Inc.,0.062267
PWR,Quanta Services Inc.,0.062155
EXR,Extra Space Storage Inc.,0.061086
